iter	Passed	Remaining
150	827	4650
151	831	4639
152	835	4626
153	840	4617
154	845	4608
155	849	4594
156	853	4583
157	858	4577
158	863	4565
159	867	4554
160	871	4539
161	875	4531
162	880	4522
163	885	4515
16163	933	475165	896	4502
166	900	4491
167	906	4486
168	910	4479
169	914	4466
170	920	4463
171	925	4454
172	929	4445
173	934	4434
174	939	4428
175	943	4418
176	948	4408
177	952	4400
178	957	4393
179	961	4381
180	966	4371
181	971	4366
182	976	4359
183	980	4348
184	985	4343
185	990	4335
186	995	4326
187	999	4316
188	1004	4309
189	1008	4300
190	1013	4294
191	1020	4292
192	1025	4286
193	1029	4278
194	1035	4276
195	1040	4269
196	1044	4259
197	1049	4252
198	1054	4245
199	1058	4233
200	1062	4224
201	1067	4217
202	1072	4210
203	1076	4201
204	1081	4193
205	1086	4189
206	1090	4178
207	1094	4169
208	1100	4163
209	1104	4155
210	1109	4148
211	1114	4142
212	1119	41211213	1125	41212214	1132	4134
215	1138	4131
216	1143	41215217	1150	41216218	1156	4124
219	1161	41218220	1167	41219221	1174	41220222	1180	41221223	1186	41222224	1192	41223225	1199	41224226	1205	41225227	1213	41226228	1219	41227229	1225	41228230	1232	4102
231	1239	4101
232	1243	40231233	1248	40232234	1253	40233235	1258	40234236	1263	40235237	1267	40236238	1272	40237239	1277	4043
240	1281	4035
241	1285	4025
242	1289	4017
243	1294	4009
244	1299	4003
245	1304	39244246	1308	39245247	1313	39246248	1317	39247249	1322	39248250	1327	3962
251	1333	3958
252	1338	3951
253	1343	3946
254	1349	3942
255	1354	3936
256	1359	3930
257	1364	3923
258	1368	3915
259	1372	3907
260	1377	39259261	1382	38260262	1386	38261263	1390	38262264	1395	38263265	1400	38264266	1404	38265267	1410	38266268	1416	38267269	1423	3848
270	1429	38269271	1434	38270272	1439	38271273	1445	38272274	1449	38273275	1454	3816
276	1459	38275277	1464	38276278	1468	37277279	1472	37278280	1476	37279281	1481	37280282	1485	37281283	1490	37282284	1495	37283285	1499	37284286	1502	37285287	1508	37286288	1512	37287289	1516	37288290	1520	37289291	1524	36290292	1528	36291293	1533	36292294	1538	36293295	1543	36294296	1547	36295297	1552	36296298	1556	36297299	1560	36298300	1565	36299301	1569	36300302	1573	36301303	1577	36302304	1581	36303305	1586	35304306	1591	35305307	1595	35306308	1599	35307309	1604	35308310	1608	35309311	1612	35310312	1616	35311313	1621	35312314	1625	35313315	1629	35314316	1633	35315317	1639	35316318	1646	35317319	1656	35318320	1661	35319321	1665	35320322	1671	35321323	1676	34322324	1680	34323325	1684	34324326	1690	3478
327	1694	3472
328	1699	3466
329	1704	3460
330	1708	3453
331	1712	3445
332	1717	3439
333	1721	3432
334	1726	3426
335	1730	3419
336	1735	3414
337	1741	3410
338	1745	3403
339	1749	3395
340	1754	3389
341	1758	3383
342	1763	3377
343	1767	3370
344	1771	3363
345	1775	3356
346	1780	3350
347	1784	3344
348	1789	3338
349	1793	3331
350	1798	3325
351	1802	3318
352	1806	3311
353	1810	3304
354	1815	3298
355	1819	3292
356	1824	3285
357	1828	3278
358	1833	3272
359	1837	3266
360	1842	3260
361	1845	3253
362	1851	3248
363	1855	3242
364	1860	32363365	1864	32364366	1869	3224
367	1873	32366368	1877	32367369	1883	32368370	1887	32369371	1892	3194
372	1897	3190
373	1902	3184
374	1907	3178
375	1911	3172
376	1915	3165
377	1919	3158
378	1924	3152
379	1928	3146
380	1933	3141
381	1938	3136
382	1942	3129
383	1947	3124
384	1951	3117
385	1955	3111
386	1960	3105
387	1966	3101
388	1971	3096
389	1977	3093
390	1982	3087
391	1986	3081
392	1991	30391393	1996	3070
394	2001	3065
395	2005	3059
396	2009	3052
397	2014	3046
398	2018	3040
399	2023	3034
400	2028	3029
401	2033	3025
402	2038	3020
403	2044	3015
404	2048	3010
405	2053	3003
406	2057	2997
407	2061	2991
408	2066	2985
409	2070	2978
410	2074	2973
411	2079	2968
412	2084	2962
413	2088	2956
414	2093	2951
415	2097	2945
416	2102	2939
417	2106	2933
418	2110	2927
419	2115	2921
420	2119	2914
421	2123	2908
422	2128	2903
423	2132	2897
424	2136	2890
425	2140	2884
426	2146	2880
427	2150	2874
428	2155	2868
429	2162	2866
430	2167	2862
431	2172	28430432	2177	28431433	2182	28432434	2186	28433435	2191	28434436	2195	2828
437	2200	2823
438	2204	2817
439	2209	28438440	2214	28439441	2218	2800
442	2223	27441443	2228	27442444	2232	27443445	2236	27444446	2241	27445447	2245	27446448	2254	27447449	2258	27448450	2263	2755
451	2268	27450452	2272	27451453	2279	27452454	2286	27453455	2294	27454456	2301	27455457	2307	27456458	2312	27457459	2317	27458460	2323	2716
461	2328	27460462	2333	27461463	2338	27462464	2342	26463465	2347	2689
466	2351	2683
467	2356	2678
468	2360	2672
469	2364	2666
470	2368	2660
471	2374	2655
472	2378	2650
473	2383	2644
474	2388	2639
475	2393	2634
476	2397	2628
477	2401	2622
478	2405	2616
479	2409	2610
480	2413	2604
481	2417	2598
482	2422	2593
483	2427	2588
484	2431	2582
485	2436	2576
486	2440	2571
487	2445	2565
488	2449	2559
489	2454	2554
490	2459	2549
491	2463	2543
492	2467	2537
493	2473	2533
494	2478	2528
495	2482	2522
496	2487	2517
497	2492	2512
498	2496	2506
499	2501	2501
500	2506	2496
501	2510	2490
502	2515	2485
503	2522	2482
504	2527	2477
505	2532	2472
506	2537	2467
507	2542	2462
508	2546	2456
509	2551	2451
510	2556	2446
511	2560	2440
512	2565	2435
513	2571	2431
514	2576	2425
515	2579	2419
516	2585	2415
517	2589	2409
518	2594	2404
519	2598	2399
520	2603	2393
521	2608	2388
522	2612	2382
523	2618	2378
524	2624	2374
525	2628	2368
526	2634	2364
527	2639	2359
528	2643	2353
529	2649	2349
530	2654	2344
531	2658	2338
532	2664	2334
533	2671	2331
534	2678	2327
535	2683	2323
536	2689	2318
537	2695	2314
538	2701	2310
539	2710	2308
540	2718	2306
541	2725	2303
542	2732	2299
543	2738	2295
544	2745	2291
545	2755	2290
546	2763	2288
547	2770	2285
548	2776	2280
549	2783	2277
550	2789	2272
551	2796	2269
552	2802	2265
553	2807	2260
554	2813	2255
555	2818	2251
556	2823	2245
557	2829	2241
558	2834	2236
559	2840	2232
560	2848	2229
561	2852	2223
562	2856	2217
563	2861	2212
564	2866	2207
565	2871	2201
566	2876	2196
567	2880	2190
568	2884	2184
569	2888	2178
570	2892	2172
571	2896	2167
572	2900	2161
573	2904	2155
574	2909	2150
575	2914	2145
576	2918	2139
577	2922	2133
578	2927	2128
579	2931	2122
580	2936	2117
581	2940	2111
582	2944	2106
583	2948	2100
584	2953	2095
585	2958	2090
586	2963	2084
587	2967	2079
588	2971	2073
589	2976	2068
590	2981	2063
591	2985	2057
592	2990	2052
593	2994	2046
594	2998	2041
595	3002	2035
596	3006	2029
597	3011	2024
598	3016	2019
599	3020	2013
600	3025	2008
601	3030	2003
602	3035	1998
603	3040	1993
604	3045	1988
605	3050	1983
606	3055	1978
607	3060	1973
608	3064	1967
609	3068	1961
610	3073	1956
611	3077	1951
612	3082	1945
613	3086	1940
614	3090	1934
615	3096	1930
616	3102	1926
617	3107	1920
618	3112	1916
619	3117	1910
620	3122	1905
621	3127	1900
622	3132	1895
623	3136	1890
624	3142	1885
625	3147	1880
626	3151	1874
627	3157	1870
628	3162	1865
629	3167	1860
630	3172	1854
631	3176	1849
632	3180	1844
633	3184	1838
634	3190	1833
635	3194	1828
636	3199	1823
637	3204	1818
638	3209	1813
639	3214	1807
640	3218	1802
641	3223	1797
642	3227	1792
643	3232	1786
644	3237	1782
645	3242	1776
646	3247	1771
647	3252	1766
648	3259	1762
649	3264	1757
650	3269	1752
651	3273	1747
652	3278	1742
653	3283	1736
654	3287	1731
655	3292	1726
656	3296	1721
657	3302	1716
658	3307	1711
659	3312	1706
660	3317	1701
661	3322	1696
662	3326	1691
663	3332	1686
664	3337	1681
665	3342	1676
666	3347	1671
667	3351	1665
668	3356	1660
669	3361	1655
670	3365	1650
671	3370	1644
672	3374	1639
673	3378	1634
674	3383	1629
675	3389	1624
676	3394	1619
677	3397	1613
678	3403	1608
679	3407	1603
680	3411	1598
681	3416	1592
682	3420	1587
683	3424	1581
684	3429	1577
685	3435	1572
686	3441	1568
687	3447	1563
688	3453	1558
689	3458	1553
690	3463	1548
691	3467	1543
692	3472	1538
693	3477	1533
694	3482	1528
695	3488	1523
696	3493	1518
697	3499	1513
698	3503	1508
699	3508	1503
700	3513	1498
701	3518	1493
702	3522	1488
703	3527	1482
704	3532	1478
705	3537	1473
706	3542	1468
707	3548	1463
708	3553	1458
709	3557	1453
710	3562	1447
711	3566	1442
712	3571	1437
713	3576	1432
714	3581	1427
715	3586	1422
716	3591	1417
717	3596	1412
718	3601	1407
719	3606	1402
720	3611	1397
721	3618	1393
722	3623	1388
723	3630	1383
724	3635	1379
725	3641	1374
726	3647	1369
727	3653	1364
728	3657	1359
729	3662	1354
730	3666	1349
731	3671	1344
732	3675	1338
733	3680	1333
734	3685	1328
735	3690	1323
736	3695	1318
737	3700	1313
738	3704	1308
739	3709	1303
740	3714	1298
741	3719	1293
742	3725	1288
743	3730	1283
744	3735	1278
745	3739	1273
746	3744	1268
747	3750	1263
748	3754	1258
749	3759	1253
750	3764	1248
751	3767	1242
752	3773	1237
753	3778	1232
754	3782	1227
755	3787	1222
756	3792	1217
757	3797	1212
758	3801	1207
759	3806	1202
760	3811	1196
761	3815	1191
762	3820	1186
763	3825	1181
764	3830	1176
765	3835	1171
766	3840	1166
767	3845	1161
768	3850	1156
769	3855	1151
770	3860	1146
771	3864	1141
772	3869	1136
773	3874	1131
774	3879	1126
775	3884	1121
776	3889	1116
777	3894	1111
778	3899	1106
779	3903	1101
780	3908	1095
781	3912	1090
782	3917	1085
783	3923	1080
784	3928	1075
785	3933	1070
786	3938	1065
787	3943	1060
788	3947	1055
789	3951	1050
790	3956	1045
791	3960	1040
792	3965	1035
793	3969	1029
794	3974	1024
795	3980	1020
796	3984	1014
797	3988	1009
798	3992	1004
799	3996	999
800	4001	994
801	4006	989
802	4010	983
803	4014	978
804	4020	973
805	4024	968
806	4028	963
807	4033	958
808	4038	953
809	4043	948
810	4048	943
811	4054	938
812	4058	933
813	4063	928
814	4067	923
815	4071	918
816	4075	912
817	4080	907
818	4084	902
819	4089	897
820	4093	892
821	4097	887
822	4102	882
823	4108	877
824	4112	872
825	4118	867
826	4122	862
827	4127	857
828	4131	852
829	4137	847
830	4141	842
831	4145	837
832	4150	832
833	4154	826
834	4158	821
835	4163	816
836	4169	811
837	4173	806
838	4177	801
839	4183	796
840	4189	792
841	4194	787
842	4199	782
843	4203	776
844	4208	771
845	4212	766
846	4217	761
847	4221	756
848	4225	751
849	4230	746
850	4236	741
851	4242	736
852	4252	732
853	4260	728
854	4265	723
855	4270	718
856	4275	713
857	4280	708
858	4285	703
859	4289	698
860	4293	693
861	4298	688
862	4303	683
863	4307	678
864	4312	673
865	4316	667
866	4321	662
867	4325	657
868	4329	652
869	4334	647
870	4339	642
871	4345	637
872	4350	632
873	4355	627
874	4360	622
875	4364	617
876	4369	612
877	4373	607
878	4381	603
879	4386	598
880	4390	593
881	4395	588
882	4399	582
883	4404	577
884	4409	572
885	4413	567
886	4417	562
887	4422	557
888	4427	552
889	4432	547
890	4435	542
891	4440	537
892	4444	532
893	4449	527
894	4453	522
895	4457	517
896	4461	512
897	4465	507
898	4469	502
899	4474	497
900	4479	492
901	4483	487
902	4487	482
903	4492	477
904	4496	471
905	4500	466
906	4504	461
907	4510	456
908	4514	451
909	4519	446
910	4523	441
911	4529	437
912	4533	432
913	4537	426
914	4542	421
915	4545	416
916	4550	411
917	4553	406
918	4558	401
919	4562	396
920	4566	391
921	4570	386
922	4574	381
923	4580	376
924	4584	371
925	4588	366
926	4593	361
927	4596	356
928	4601	351
929	4605	346
930	4609	341
931	4613	336
932	4618	331
933	4622	326
934	4628	321
935	4632	316
936	4635	311
937	4641	306
938	4645	301
939	4649	296
940	4654	291
941	4658	286
942	4662	281
943	4666	276
944	4671	271
945	4676	266
946	4680	261
947	4685	256
948	4689	252
949	4694	247
950	4698	242
951	4702	237
952	4706	232
953	4711	227
954	4715	222
955	4721	217
956	4729	212
957	4736	207
958	4742	202
959	4747	197
960	4753	192
961	4757	187
962	4765	183
963	4774	178
964	4780	173
965	4787	168
966	4793	163
967	4799	158
968	4806	153
969	4817	148
970	4826	144
971	4832	139
972	4838	134
973	4844	129
974	4850	124
975	4857	119
976	4862	114
977	4868	109
978	4873	104
979	4878	99
980	4883	94
981	4888	89
982	4893	84
983	4898	79
984	4903	74
985	4907	69
986	4911	64
987	4915	59
988	4920	54
989	4925	49
990	4929	44
991	4933	39
992	4938	34
993	4943	29
994	4947	24
995	4952	19
996	4956	14
997	4962	9
998	4967	4
999	4971	0
5008	10
998	5013	5
999	5019	0
